hkl,_refln_intensity_meas,_refln_intensity_sigma,G-vector Length,Intensity,orientation
-7 1 8,0.0024470187941451342,0.0001580683822937486,1.7120274204361354,2.965377e-06,19
5 -2 -8,0.0006393655885202198,9.947669995488323e-05,1.5348984728393609,1.384585e-06,19
1 -1 -4,0.018125753766141832,0.00039161318424165076,0.7317257729135267,0.00010731745,19
2 -1 -4,0.007841163984474871,0.00029441439738771746,0.7405680648081231,6.439524e-05,19
5 -1 -4,0.0015953141307920404,0.00017074954801037676,1.0639291090833678,1.1970917e-06,19
6 -1 -4,0.0008733565796322255,0.00013517183308316995,1.2279777784287058,6.656142e-09,19
-5 0 1,0.010493969917832623,0.0003170995938363523,1.0090969892487285,1.949983e-06,19
-7 0 2,0.0001724403701059272,0.0001200014015036481,1.3942167833073604,1.6737867e-07,19
2 1 4,0.043853396706597936,0.0005999600402378085,1.0202038943665506,2.2887583e-07,19
-3 1 5,0.003422740561478808,0.00021884404317269992,0.949085467547414,1.0205129e-06,19
-2 1 5,0.006124322015565144,0.0002467191241090659,0.9098223754862612,1.996937e-06,19
-6 1 6,0.0007041804355163194,0.00013481957847993027,1.3770129863722982,1.7299702e-05,19
-5 1 6,0.003915497784130677,0.00020031545104229318,1.2576674303293525,9.503502e-09,19
-4 1 6,0.03743151348585613,0.0005230746021706962,1.1653460523842358,1.0568678e-05,19
-7 1 7,0.00019982229459775767,9.928883083315541e-05,1.6057132460531451,2.6751656e-10,19
3 -1 -4,0.2885653740864042,0.001410004725847757,0.8075896026475351,2.6101103e-05,19
4 -1 -4,0.032638502517775,0.0004924049680486288,0.9201642950137568,1.1396033e-07,19
-2 0 0,0.17719362327112267,0.0011834580486842162,0.4260081121833359,0.00036958483,19
-6 0 1,0.0003743057414024749,0.00015170431579521852,1.2192544044705558,9.4135906e-08,19
5 0 1,0.002067429233694064,0.00022696938268742837,1.1515255589330635,2.4211788e-06,19
0 1 4,0.07426778714315788,0.0007450419694921212,0.7830361490385692,3.9317115e-06,19
1 1 4,0.009904694933893083,0.0003609670337597994,0.8840871396414562,1.4447631e-05,19
-4 1 5,0.004038411157021106,0.00020700828850384696,1.031741804090019,5.5887367e-06,19
-7 1 6,0.0006392481703191398,0.00011157077466611196,1.5170180024599833,4.859193e-08,19
3 -2 -7,0.00030575699561203484,0.00010800126135328329,1.2831753382781252,1.3791066e-07,19
4 -2 -7,0.018948620519309706,0.0003739769704394513,1.3223917794393272,7.524173e-09,19
