# h  k  l  lp
  -5   -2  -11  0.020256
  -5   -2  -10  0.019865
  -5   -2   -9  0.019504
  -5   -2   -8  0.019176
  -5   -2   -7  0.018882
  -5   -2   -6  0.018624
  -5   -2   -5  0.018403
  -5   -2   -4  0.018221
  -5   -2   -3  0.018078
  -5   -2   -2  0.017977
  -5   -2   -1  0.017917
  -5   -2    0  0.017898
  -5   -2    1  0.017922
  -5   -2    2  0.017988
  -5   -2    3  0.018095
  -5   -2    4  0.018242
  -5   -2    5  0.018430
  -5   -2    6  0.018656
  -5   -2    7  0.018919
  -5   -2    8  0.019217
  -5   -2    9  0.019550
  -5   -2   10  0.019914
  -5   -2   11  0.020310
  -5   -2   12  0.020734
  -5   -2   13  0.021185
  -5   -2   14  0.021661
  -5   -2   15  0.022162
  -5   -2   16  0.022684
  -5   -2   17  0.023227
  -5   -2   18  0.023789
  -5   -2   19  0.024369
  -5   -2   20  0.024966
  -5   -3  -13  0.021552
  -5   -3  -12  0.021118
  -5   -3  -11  0.020710
  -5   -3  -10  0.020332
  -5   -3   -9  0.019984
  -5   -3   -8  0.019668
  -5   -3   -7  0.019386
  -5   -3   -6  0.019139
  -5   -3   -5  0.018928
  -5   -3   -4  0.018756
  -5   -3   -3  0.018622
  -5   -3   -2  0.018528
  -5   -3   -1  0.018474
  -5   -3    0  0.018461
  -5   -3    1  0.018488
  -5   -3    2  0.018556
  -5   -3    3  0.018665
  -5   -3    4  0.018812
  -5   -3    5  0.018998
  -5   -3    6  0.019222
  -5   -3    7  0.019482
  -5   -3    8  0.019776
  -5   -3    9  0.020103
  -5   -3   10  0.020462
  -5   -3   11  0.020851
  -5   -3   12  0.021268
  -5   -3   13  0.021712
  -5   -3   14  0.022181
  -5   -3   15  0.022673
  -5   -3   16  0.023188
  -5   -3   17  0.023723
  -5   -3   18  0.024277
  -5   -4  -13  0.021987
  -5   -4  -12  0.021565
  -5   -4  -11  0.021170
  -5   -4  -10  0.020804
  -5   -4   -9  0.020468
  -5   -4   -8  0.020164
  -5   -4   -7  0.019893
  -5   -4   -6  0.019657
  -5   -4   -5  0.019456
  -5   -4   -4  0.019293
  -5   -4   -3  0.019167
  -5   -4   -2  0.019080
  -5   -4   -1  0.019032
  -5   -4    0  0.019024
  -5   -4    1  0.019055
  -5   -4    2  0.019125
  -5   -4    3  0.019235
  -5   -4    4  0.019382
  -5   -4    5  0.019567
  -5   -4    6  0.019788
  -5   -4    7  0.020045
  -5   -4    8  0.020335
  -5   -4    9  0.020658
  -5   -4   10  0.021011
  -5   -4   11  0.021394
  -5   -4   12  0.021805
