# h  k  l  lp
   8   -3   -9  0.027150
   8   -3  -10  0.027873
   8   -4    5  0.030874
   8   -4    4  0.029774
   8   -4    3  0.028759
   8   -4    2  0.027839
   8   -4    1  0.027024
   8   -4    0  0.026323
   8   -4   -1  0.025747
   8   -4   -2  0.025302
   8   -4   -3  0.024997
   8   -4   -4  0.024836
   8   -4   -5  0.024822
   8   -4   -6  0.024956
   8   -4   -7  0.025235
   8   -4   -8  0.025654
   8   -4   -9  0.026207
   8   -4  -10  0.026886
   8   -5    4  0.029791
   8   -5    3  0.028712
   8   -5    2  0.027723
   8   -5    1  0.026835
   8   -5    0  0.026058
   8   -5   -1  0.025401
   8   -5   -2  0.024875
   8   -5   -3  0.024489
   8   -5   -4  0.024247
   8   -5   -5  0.024156
   8   -5   -6  0.024217
   8   -5   -7  0.024428
   8   -5   -8  0.024785
   8   -5   -9  0.025283
   8   -6    3  0.028712
   8   -6    2  0.027656
   8   -6    1  0.026696
   8   -6    0  0.025842
   8   -6   -1  0.025106
   8   -6   -2  0.024498
   8   -6   -3  0.024027
   8   -6   -4  0.023703
   8   -6   -5  0.023530
   8   -6   -6  0.023513
   8   -6   -7  0.023651
   8   -6   -8  0.023942
   8   -7    3  0.028761
   8   -7    2  0.027639
   8   -7    1  0.026608
   8   -7    0  0.025679
   8   -7   -1  0.024863
   8   -7   -2  0.024171
   8   -7   -3  0.023615
   8   -7   -4  0.023204
   8   -7   -5  0.022947
   8   -7   -6  0.022847
   8   -8    2  0.027672
   8   -8    1  0.026572
   8   -8    0  0.025568
   8   -8   -1  0.024673
   8   -8   -2  0.023898
   8   -8   -3  0.023255
   8   -8   -4  0.022756
   7    9    4  0.030043
   7    9    3  0.029902
   7    9    2  0.029884
   7    9    1  0.029988
   7    9    0  0.030213
   7    9   -1  0.030557
   7    9   -2  0.031015
   7    9   -3  0.031584
   7    9   -4  0.032256
   7    9   -5  0.033025
   7    9   -6  0.033886
   7    8    6  0.030292
   7    8    5  0.029845
   7    8    4  0.029516
   7    8    3  0.029309
   7    8    2  0.029226
   7    8    1  0.029268
   7    8    0  0.029435
   7    8   -1  0.029725
   7    8   -2  0.030135
   7    8   -3  0.030658
   7    8   -4  0.031291
   7    8   -5  0.032025
   7    8   -6  0.032855
   7    8   -7  0.033774
   7    8   -8  0.034773
   7    7    7  0.030567
   7    7    6  0.029940
   7    7    5  0.029424
   7    7    4  0.029026
   7    7    3  0.028750
   7    7    2  0.028600
   7    7    1  0.028578
   7    7    0  0.028685
   7    7   -1  0.028918
   7    7   -2  0.029274
